Parcel ID,Assessment Year,Total Assessed Value,Land Assessed Value,Building Assessed Value,Data Source,Assessment Date,Tax Year
4-60,2022,355800.0,137900.0,217900.0,City Parcel Master,2022-01-01,2022
4-60,2020,355900.0,138000.0,217900.0,NHDRA,2020-01-01,2020
4-61,2022,587800.0,157200.0,429100.0,City Parcel Master,2022-01-01,2022
4-61,2020,584900.0,157200.0,426200.0,NHDRA,2020-01-01,2020
4-62,2022,370500.0,130700.0,239800.0,City Parcel Master,2022-01-01,2022
4-62,2020,370500.0,130700.0,239800.0,NHDRA,2020-01-01,2020
4-63,2022,387500.0,124400.0,263100.0,City Parcel Master,2022-01-01,2022
4-63,2020,387500.0,124400.0,263100.0,NHDRA,2020-01-01,2020
4-64,2022,90100.0,79400.0,0.0,City Parcel Master,2022-01-01,2022
4-64,2020,90200.0,79500.0,0.0,NHDRA,2020-01-01,2020
4-65,2022,349600.0,132900.0,216700.0,City Parcel Master,2022-01-01,2022
4-65,2020,349600.0,132900.0,216700.0,NHDRA,2020-01-01,2020
4-66,2022,447900.0,134300.0,313600.0,City Parcel Master,2022-01-01,2022
4-66,2020,457600.0,134300.0,323300.0,NHDRA,2020-01-01,2020
4-67,2022,364300.0,134300.0,230000.0,City Parcel Master,2022-01-01,2022
4-67,2020,364400.0,134300.0,230000.0,NHDRA,2020-01-01,2020
4-68,2022,370600.0,133600.0,236500.0,City Parcel Master,2022-01-01,2022
4-68,2020,370700.0,133700.0,236500.0,NHDRA,2020-01-01,2020
4-69,2022,471700.0,135100.0,336600.0,City Parcel Master,2022-01-01,2022
4-69,2020,471800.0,135200.0,336600.0,NHDRA,2020-01-01,2020
4-70,2022,400300.0,135800.0,263500.0,City Parcel Master,2022-01-01,2022
4-70,2020,407400.0,135900.0,271500.0,NHDRA,2020-01-01,2020
4-71,2022,379400.0,135800.0,243600.0,City Parcel Master,2022-01-01,2022
4-71,2020,388800.0,135900.0,252900.0,NHDRA,2020-01-01,2020
4-72,2022,550300.0,133600.0,415700.0,City Parcel Master,2022-01-01,2022
4-72,2020,549400.0,133700.0,415700.0,NHDRA,2020-01-01,2020
4-73,2022,399900.0,135800.0,263300.0,City Parcel Master,2022-01-01,2022
4-73,2020,400000.0,135900.0,263300.0,NHDRA,2020-01-01,2020
4-74,2022,369900.0,137900.0,231800.0,City Parcel Master,2022-01-01,2022
4-74,2020,370000.0,138000.0,231800.0,NHDRA,2020-01-01,2020
4-75,2022,444200.0,137900.0,305800.0,City Parcel Master,2022-01-01,2022
